exp_id,exp_name,investigators,researchers,attachments,n_fcs_files_total,n_fcs_files_parse
FR-FCM-ZZYZ,"ND, FlowCAP-I",Mehrnoush Malek,Nima Aghaeepour,NA,30,30
FR-FCM-ZZYY,"DLBCL, FlowCAP-I",Ryan Brinkman,Nima Aghaeepour,NA,30,30
FR-FCM-ZZY2,"GvHD, FlowCAP-I",Ryan Brinkman,Nima Aghaeepour,NA,12,12
FR-FCM-ZZY3,"WNV, FlowCAP-I",Ryan Brinkman,Nima Aghaeepour,NA,13,13
FR-FCM-ZZY6,"HSCT, FlowCAP-I",Mehrnoush Malek,Nima Aghaeepour,NA,30,30
FR-FCM-ZZY7,Dataset 2-Flow Cytometer Sensitivity: A Quadratic Model,Ryan Brinkman,Faysal El Khettabi,NA,142,30
FR-FCM-ZZY9,Bleaching Response of Symbiodinium (Zooxanthellae),Co Sin Lee,Co Sin Lee,NA,60,30
FR-FCM-ZZYA,"AML, FlowCAP-II",Nima Aghaeepour,Nima Aghaeepour,"new(""attachmentProxy"", description = NULL, name = ""AML.csv"", url = ""https://flowrepository.org/experiments/42/attachments/86/download"", size = 84314, md5sum = ""aa848e11d0fe1a48c2a249e6fc15fce0"", localpath = NULL)",2872,30
FR-FCM-ZZYD,pY-Lck,Alice Nyakeriga,Alice Nyakeriga,NA,179,30
FR-FCM-ZZYE,Functional performance of AmCyan100 in Flow Cytometry analysis,Maria Jaimes,Maria Jaimes,NA,18,18
FR-FCM-ZZYF,Neutrophil Isolation,Loren Erickson,Loren Erickson,NA,18,18
FR-FCM-ZZYK,Detection of Cryoglobulins with flowcytometry,Ruediger Mueller,Ruediger Mueller,"new(""attachmentProxy"", description = NULL, name = ""KL_warm_48h_+_cold_24h.LMD"", url = ""https://flowrepository.org/experiments/52/attachments/118/download"", size = 7168, md5sum = ""43ebd337a6cf474266a8ebc03df1b9a9"", localpath = NULL)",51,30
FR-FCM-ZZYL,EQAPOL-Sendout1-101a,Adam Richards,Adam Richards,"new(""attachmentProxy"", description = NULL, name = ""miflowcyt_ajr_facscalibur.doc"", url = ""https://flowrepository.org/experiments/53/attachments/119/download"", size = 143360, md5sum = ""482f53c4808a5907c936a6c5e32d6bfa"", localpath = NULL)",32,30
FR-FCM-ZZYQ,Identification of the proliferations of T-cell subsets in vitro by EdU incorporation,Yanli Sun,Yanli Sun,"new(""attachmentProxy"", description = ""the details of sample treatment and staining"", name = ""details.xls"", url = ""https://flowrepository.org/experiments/58/attachments/141/download"", size = 33280, md5sum = ""26045121fc8511c3f0a2cf332ef33353"", localpath = NULL)",81,30
FR-FCM-ZZYR,User-defined protein marker assay development for characterization of circulating tumor cells using the CellSearch system,Alison Allan,Alison Allan,NA,97,30
FR-FCM-ZZYS,Effects of Prematurity on T cell Phenotype and Function,Kristin  Scheible,Kristin  Scheible,NA,129,30
FR-FCM-ZZYT,RPA2 staining,Josep Forment,Josep Forment,NA,12,12
FR-FCM-ZZ2Z,ICCS CSI New Orleans Bunting,Fiona Craig,Fiona Craig,"new(""attachmentProxy"", description = NULL, name = ""ICCS_CSI_New_Orleans_2012_Bunting_History.docx"", url = ""https://flowrepository.org/experiments/64/attachments/142/download"", size = 11482, md5sum = ""4ccd79b29d70e718a7429fff108ba03a"", localpath = NULL)|new(""attachmentProxy"", description = NULL, name = ""ICCS_CSI_New_Orleans_Bunting_Analysis.pdf"", url = ""https://flowrepository.org/experiments/64/attachments/160/download"", size = 238541, md5sum = ""e088e37e09547e1597bbda577b0ae004"", localpath = NULL)",16,16
FR-FCM-ZZ2Y,ICCS CSI New Orleans Chen,Fiona Craig,Fiona Craig,"new(""attachmentProxy"", description = NULL, name = ""ICCS_CSI_New_Orleans_2012_Chen_History.docx"", url = ""https://flowrepository.org/experiments/65/attachments/145/download"", size = 11653, md5sum = ""c2dda06155b887c56cdd59fdae4f99f4"", localpath = NULL)|new(""attachmentProxy"", description = NULL, name = ""ICCS_CSI_New_Orleans_Chen_Analysis.pdf"", url = ""https://flowrepository.org/experiments/65/attachments/157/download"", size = 225437, md5sum = ""a36cb82c898a3c17c8dd5422496f987a"", localpath = NULL)",15,15
FR-FCM-ZZ23,ICCS CSI New Orleans Linden,Fiona Craig,Fiona Craig,"new(""attachmentProxy"", description = NULL, name = ""ICCS_CSI_New_Orleans_2012_Linden_History.docx"", url = ""https://flowrepository.org/experiments/67/attachments/147/download"", size = 11266, md5sum = ""8ed4d52e3385ca0cb8405180405cc072"", localpath = NULL)|new(""attachmentProxy"", description = NULL, name = ""ICCS_CSI_New_Orleans_Linden_Analysis.pdf"", url = ""https://flowrepository.org/experiments/67/attachments/158/download"", size = 1000777, md5sum = ""d71bbfbfb10111aa9a1ff24cf096627c"", localpath = NULL)",9,9
FR-FCM-ZZ24,ICCS CSI New Orleans Roth,Fiona Craig,Fiona Craig,"new(""attachmentProxy"", description = NULL, name = ""ICCS_CSI_New_Orleans_2012_Roth_History.docx"", url = ""https://flowrepository.org/experiments/68/attachments/149/download"", size = 11178, md5sum = ""78a557f749d93dd77d95c669b65ffd6f"", localpath = NULL)|new(""attachmentProxy"", description = NULL, name = ""ICCS_CSI_New_Orleans_Roth_Analysis.pdf"", url = ""https://flowrepository.org/experiments/68/attachments/150/download"", size = 132526, md5sum = ""c155cbb662cb89896b1ef71b4a0c62d2"", localpath = NULL)",9,9
FR-FCM-ZZ28,ICCS CSI New Orleans Healey,Fiona Craig,Fiona Craig,"new(""attachmentProxy"", description = NULL, name = ""ICCS_CSI_New_Orleans_2012_Healey_History.docx"", url = ""https://flowrepository.org/experiments/72/attachments/156/download"", size = 11279, md5sum = ""f8d6d0c7f902905d3cb0a55cdd94ed71"", localpath = NULL)|new(""attachmentProxy"", description = NULL, name = ""ICCS_CSI_New_Orleans_Healey_Analysis.pdf"", url = ""https://flowrepository.org/experiments/72/attachments/159/download"", size = 615334, md5sum = ""228c145f484f6c988e34ea90ad3c45f4"", localpath = NULL)",9,9
