exp_id,version,filename,size,creator,n_params
FR-FCM-ZZZ3,FCS3.0,a2007_O1T2pb05i_E1_E01.fcs,13203716,BD FACSDiva Software Version 5.0.2,22
FR-FCM-ZZZ3,FCS3.0,a2008_O1T2pb05i_D2_D02.fcs,13203717,BD FACSDiva Software Version 5.0.2,22
FR-FCM-ZZZ3,FCS3.0,a2006_O1T2pb05i_C4_C04.fcs,13203713,BD FACSDiva Software Version 5.0.2,22
FR-FCM-ZZZ3,FCS3.0,a2009_O1T2pb05i_D2_D02.fcs,13203714,BD FACSDiva Software Version 5.0.2,22
FR-FCM-ZZZ3,FCS3.0,a2010_O1T2pb05i_controls_G3_G03.fcs,883736,BD FACSDiva Software Version 5.0.2,22
FR-FCM-ZZZ3,FCS3.0,a2008_O1T2pb05i_B3_B03.fcs,13203713,BD FACSDiva Software Version 5.0.2,22
FR-FCM-ZZZ3,FCS3.0,a2006_O1T2pb05i_controls_G2_G02.fcs,15781,BD FACSDiva Software Version 5.0.2,22
FR-FCM-ZZZ3,FCS3.0,a2009_O1T2pb05i_controls_H2_H02.fcs,20706,BD FACSDiva Software Version 5.0.2,22
FR-FCM-ZZZ3,FCS3.0,a2010_O1T2pb05i_F2_F02.fcs,15403711,BD FACSDiva Software Version 5.0.2,22
FR-FCM-ZZZ3,FCS3.0,a2008_O1T2pb05i_C4_C04.fcs,13203713,BD FACSDiva Software Version 5.0.2,22
FR-FCM-ZZZ3,FCS3.0,a2008_O1T2pb05i_B6_B06.fcs,13203713,BD FACSDiva Software Version 5.0.2,22
FR-FCM-ZZZ3,FCS3.0,a2009_O1T2pb05i_D8_D08.fcs,13203713,BD FACSDiva Software Version 5.0.2,22
FR-FCM-ZZZ3,FCS3.0,a2008_O1T2pb05i_A3_A03.fcs,13203714,BD FACSDiva Software Version 5.0.2,22
FR-FCM-ZZZ3,FCS3.0,a2010_O1T2pb05i_E1_E01.fcs,15403716,BD FACSDiva Software Version 5.0.2,22
FR-FCM-ZZZ4,FCS2.0,System II listmode with extra info in bits D10-D15.LMD,134144,NA,6
FR-FCM-ZZZ4,FCS3.0,"iCyt - Eclipse - 20100924_08h32m40s(Protocol AlignCheck - Final Test 6Runs, Well A1).lmd",362082,NA,18
FR-FCM-ZZZ4,FCS3.0,BD - FACS Aria II - Compensation Controls_G660 Stained Control.fcs,482644,BD FACSDiva Software Version 6.1.3,12
FR-FCM-ZZZ4,FCS3.0,Accuri - C6 - A01 H2O.fcs,13603,NA,14
FR-FCM-ZZZ4,FCS3.0,Beckman Coulter - MoFlo Astrios - log settings.fcs,2113425,NA,68
FR-FCM-ZZZ4,FCS3.0,Cytek DxP10 - PERCP COMP BEADS010.fcs,1204096,FlowJoCollectorsEdition 7.5.109.7,15
FR-FCM-ZZZ4,FCS3.0,BD - FACS Aria II.fcs,5603497,BD FACSDiva Software Version 6.1.3,14
FR-FCM-ZZZ4,FCS3.0,Applied Biosystems - Attune.fcs,2309859,NA,26
FR-FCM-ZZZ4,FCS3.0,Cytek DxP10 - APC COMP BEADS011.fcs,1204096,FlowJoCollectorsEdition 7.5.109.7,15
FR-FCM-ZZZ4,FCS3.0,Millipore - easyCyte 6HT-2L - InCyte.fcs,22538708,NA,17
FR-FCM-ZZZ4,FCS3.0,3215apc 100004.fcs,1043904,FlowJoCollectorsEdition 7.5.109.8,8
FR-FCM-ZZZ4,FCS3.0,Accuri - C6 - A02 Spherotech 8 Peak Beads.fcs,3399976,NA,14
FR-FCM-ZZZ4,FCS3.0,Miltenyi Biotec - MACSQuant Analyzer.fcs,2647943,NA,10
FR-FCM-ZZZ4,FCS3.1,MVa2011-06-30_fcs31.fcs,13871397,NA,14
FR-FCM-ZZZ4,FCS3.0,Cytek DxP10 - 6-peak Q&b 11-06-2012 001.fcs,1214716,FlowJoCollectorsEdition 7.5.109.7,15
FR-FCM-ZZZ4,FCS3.0,Beckman Coulter - MoFlo Astrios - linear settings.fcs,2185400,NA,68
FR-FCM-ZZZ4,FCS3.0,"iCyt - Eclipse - 20100923_12h23m41s(Protocol Cell Cycle DAPI , SampleID1 DAPI Prep-DNA, Well A1).lmd",1654761,NA,18
FR-FCM-ZZZ4,FCS3.0,Accuri - C6.fcs,3545793,NA,14
FR-FCM-ZZZ4,FCS3.0,Beckman Coulter - Cyan.fcs,143638,NA,12
FR-FCM-ZZZ4,FCS3.0,Beckman Coulter - MoFlo XDP.fcs,4046512,NA,26
FR-FCM-ZZZ4,FCS3.0,Stratedigm - S1400 - 8 Peaks Beads.fcs,787659,NA,38
FR-FCM-ZZZ4,FCS3.0,Cytek DxP10 - FITC COMP BEADS008.fcs,1204096,FlowJoCollectorsEdition 7.5.109.7,15
FR-FCM-ZZZ4,FCS3.0,BD - FACS Aria II - Compensation Controls_B515 Stained Control.fcs,482644,BD FACSDiva Software Version 6.1.3,12
FR-FCM-ZZZ4,FCS3.0,iCyt - Eclipse - 8 peak.lmd,1393879,NA,18
FR-FCM-ZZZ4,FCS3.0,MVa2011-06-30_fcs30.fcs,13847359,NA,14
FR-FCM-ZZZ4,FCS3.0,"iCyt - Eclipse - 20100922_14h35m49s(Protocol CytoTrol, Well C7).lmd",633783,NA,18
FR-FCM-ZZZ4,FCS3.0,Cytek DxP10 - PE COMP BEADS009.fcs,1204096,FlowJoCollectorsEdition 7.5.109.7,15
FR-FCM-ZZZ4,FCS3.0,Cytek DxP10 - BLANK COMP BEADS007.fcs,1204096,FlowJoCollectorsEdition 7.5.109.7,15
FR-FCM-ZZZ4,FCS2.0,Beckman Coulter - Gallios.LMD,884668,NA,6
FR-FCM-ZZZ4,FCS3.0,Accuri - C6 - A03 HPB - CD45 PerCP.fcs,2802038,NA,14
FR-FCM-ZZZA,FCS3.0,B-cells maturation in human Early Preterm Cord Blood.fcs,3602489,BD FACSDiva Software Version 6.1.3,9
FR-FCM-ZZZA,FCS3.0,B-cells maturation in human Term Cord Blood.fcs,990168,BD FACSDiva Software Version 6.1.3,9
FR-FCM-ZZZA,FCS3.0,CD133+CD38- population in human Early Preterm Cord Blood.fcs,3602519,BD FACSDiva Software Version 6.1.3,9
FR-FCM-ZZZA,FCS3.0,CD133+CD38- population in human term Cord Blood.fcs,3602509,BD FACSDiva Software Version 6.1.3,9
FR-FCM-ZZZA,FCS3.0,CD34+CD38- and CD34+CD243+ populations in human Early Preterm Cord Blood.fcs,22409115,BD FACSDiva Software Version 6.1.3,9
FR-FCM-ZZZA,FCS3.0,CD34+CD38- and CD34+CD243+ populations in human Term Cord Blood.fcs,2555940,BD FACSDiva Software Version 6.1.3,9
FR-FCM-ZZZE,FCS2.0,CSI Portland Grier tube 01.LMD,3099555,NA,7
FR-FCM-ZZZE,FCS2.0,CSI Portland Grier tube 02.LMD,1036890,NA,7
FR-FCM-ZZZE,FCS2.0,CSI Portland Grier tube 03.LMD,1530648,NA,7
FR-FCM-ZZZE,FCS2.0,CSI Portland Grier tube 04.LMD,1516158,NA,7
FR-FCM-ZZZE,FCS2.0,CSI Portland Grier tube 05.LMD,2934656,NA,7
FR-FCM-ZZZE,FCS2.0,CSI Portland Grier tube 06.LMD,2897580,NA,7
FR-FCM-ZZZE,FCS2.0,CSI Portland Grier tube 07.LMD,2983371,NA,7
FR-FCM-ZZZF,FCS2.0,CSI-Portland Tembhare 001.fcs,341675,CELLQuest<aa> 3.3,7
FR-FCM-ZZZF,FCS2.0,CSI-Portland Tembhare 002.fcs,325490,CELLQuest<aa> 3.3,7
FR-FCM-ZZZF,FCS2.0,CSI-Portland Tembhare 003.fcs,11201781,CELLQuest<aa> 3.3,7
FR-FCM-ZZZF,FCS2.0,CSI-Portland Tembhare 004.fcs,11201795,CELLQuest<aa> 3.3,7
FR-FCM-ZZZF,FCS2.0,CSI-Portland Tembhare 005.fcs,11201784,CELLQuest<aa> 3.3,7
FR-FCM-ZZZF,FCS2.0,CSI-Portland Tembhare 006.fcs,11201785,CELLQuest<aa> 3.3,7
FR-FCM-ZZZF,FCS2.0,CSI-Portland Tembhare 007.fcs,11201750,CELLQuest<aa> 3.3,7
FR-FCM-ZZZF,FCS2.0,CSI-Portland Tembhare 008.fcs,11201762,CELLQuest<aa> 3.3,7
FR-FCM-ZZZF,FCS2.0,CSI-Portland Tembhare 009.fcs,14001808,CELLQuest<aa> 3.3,7
FR-FCM-ZZZG,FCS2.0,CSI Portland Roshal Case 2.fcs,7842272,FlowJo,12
FR-FCM-ZZZG,FCS2.0,Roshal Case 2.fcs2 c,3922101,FlowJo,12
FR-FCM-ZZZH,FCS2.0,Tube 1.fcs,602271,CellQuest Pro<aa> 5.2,6
FR-FCM-ZZZH,FCS3.0,Tube 10.fcs,1202106,CellQuest Pro<aa> 5.2,6
FR-FCM-ZZZH,FCS3.0,Tube 11.fcs,1202138,CellQuest Pro<aa> 5.2,6
FR-FCM-ZZZH,FCS3.0,Tube 12.fcs,4098216,CellQuest Pro<aa> 5.2,6
FR-FCM-ZZZH,FCS3.0,Tube 2.fcs,1202105,CellQuest Pro<aa> 5.2,6
FR-FCM-ZZZH,FCS3.0,Tube 3.fcs,1202103,CellQuest Pro<aa> 5.2,6
FR-FCM-ZZZH,FCS3.0,Tube 4.fcs,1202104,CellQuest Pro<aa> 5.2,6
FR-FCM-ZZZH,FCS3.0,Tube 5.fcs,1202108,CellQuest Pro<aa> 5.2,6
FR-FCM-ZZZH,FCS3.0,Tube 6.fcs,1202107,CellQuest Pro<aa> 5.2,6
FR-FCM-ZZZH,FCS3.0,Tube 7.fcs,1202106,CellQuest Pro<aa> 5.2,6
FR-FCM-ZZZH,FCS3.0,Tube 8.fcs,1202107,CellQuest Pro<aa> 5.2,6
FR-FCM-ZZZH,FCS3.0,Tube 9.fcs,1202105,CellQuest Pro<aa> 5.2,6
FR-FCM-ZZZK,FCS2.0,882390.fcs,23704576,LYSYS,16
FR-FCM-ZZZK,FCS2.0,767089.fcs,19604864,LYSYS,16
FR-FCM-ZZZK,FCS2.0,841598.fcs,10658176,LYSYS,16
FR-FCM-ZZZK,FCS2.0,373816.fcs,6524544,LYSYS,16
FR-FCM-ZZZK,FCS2.0,778645.fcs,13763712,LYSYS,16
FR-FCM-ZZZK,FCS2.0,442387.fcs,37730432,LYSYS,16
FR-FCM-ZZZK,FCS2.0,553527.fcs,64005632,LYSYS,16
FR-FCM-ZZZK,FCS2.0,601582.fcs,56348544,LYSYS,16
FR-FCM-ZZZK,FCS2.0,863899.fcs,8817024,LYSYS,16
FR-FCM-ZZZK,FCS2.0,221189.fcs,11276800,LYSYS,16
FR-FCM-ZZZK,FCS2.0,429910.fcs,45990016,LYSYS,16
FR-FCM-ZZZK,FCS2.0,278695.fcs,47691520,LYSYS,16
FR-FCM-ZZZK,FCS2.0,680770.fcs,13102720,LYSYS,16
FR-FCM-ZZZK,FCS2.0,566355.fcs,6501760,LYSYS,16
FR-FCM-ZZZK,FCS2.0,371003.fcs,64005632,LYSYS,16
FR-FCM-ZZZK,FCS2.0,799120.fcs,9833344,LYSYS,16
FR-FCM-ZZZK,FCS2.0,937214.fcs,8062720,LYSYS,16
FR-FCM-ZZZK,FCS2.0,776869.fcs,13492096,LYSYS,16
FR-FCM-ZZZK,FCS2.0,637626.fcs,23111296,LYSYS,16
FR-FCM-ZZZK,FCS2.0,917594.fcs,17797120,LYSYS,16
FR-FCM-ZZZK,FCS2.0,371984.fcs,43502592,LYSYS,16
FR-FCM-ZZZK,FCS2.0,275351.fcs,12933376,LYSYS,16
FR-FCM-ZZZK,FCS2.0,761942.fcs,33276544,LYSYS,16
FR-FCM-ZZZK,FCS2.0,497943.fcs,6110080,LYSYS,16
FR-FCM-ZZZK,FCS2.0,864994.fcs,7217152,LYSYS,16
FR-FCM-ZZZK,FCS2.0,497628.fcs,23051648,LYSYS,16
FR-FCM-ZZZK,FCS2.0,795894.fcs,13239552,LYSYS,16
FR-FCM-ZZZK,FCS2.0,724692.fcs,56339584,LYSYS,16
FR-FCM-ZZZK,FCS2.0,387588.fcs,14127744,LYSYS,16
FR-FCM-ZZZK,FCS2.0,828893.fcs,64005632,LYSYS,16
FR-FCM-ZZZU,FCS3.0,0056.FCS,19093505,BD FACSDiva Software Version 5.0.2,11
FR-FCM-ZZZU,FCS3.0,0258.FCS,10143112,BD FACSDiva Software Version 5.0.2,11
FR-FCM-ZZZU,FCS3.0,0303.FCS,23089937,BD FACSDiva Software Version 5.0.2,11
FR-FCM-ZZZU,FCS3.0,0004.FCS,22002342,BD FACSDiva Software Version 5.0.2,11
FR-FCM-ZZZU,FCS3.0,0162.FCS,35249119,BD FACSDiva Software Version 5.0.2,11
FR-FCM-ZZZU,FCS3.0,0249.FCS,14760868,BD FACSDiva Software Version 5.0.2,11
FR-FCM-ZZZU,FCS3.0,0210.FCS,21838971,BD FACSDiva Software Version 5.0.2,11
FR-FCM-ZZZU,FCS3.0,0016.FCS,26739998,BD FACSDiva Software Version 5.0.2,11
FR-FCM-ZZZU,FCS3.0,0067.FCS,11863336,BD FACSDiva Software Version 5.0.2,11
FR-FCM-ZZZU,FCS3.0,0142.FCS,20623648,BD FACSDiva Software Version 5.0.2,11
FR-FCM-ZZZU,FCS3.0,0158.FCS,25152304,BD FACSDiva Software Version 5.0.2,11
FR-FCM-ZZZU,FCS3.0,0116.FCS,24624832,BD FACSDiva Software Version 5.0.2,11
FR-FCM-ZZZU,FCS3.0,0179.FCS,14860660,BD FACSDiva Software Version 5.0.2,11
FR-FCM-ZZZU,FCS3.0,0260.FCS,17932825,BD FACSDiva Software Version 5.0.2,11
FR-FCM-ZZZU,FCS3.0,0224.FCS,22002340,BD FACSDiva Software Version 5.0.2,11
FR-FCM-ZZZU,FCS3.0,0123.FCS,21291303,BD FACSDiva Software Version 5.0.2,11
FR-FCM-ZZZU,FCS3.0,0103.FCS,25334067,BD FACSDiva Software Version 5.0.2,11
FR-FCM-ZZZU,FCS3.0,0038.FCS,3126783,BD FACSDiva Software Version 5.0.2,11
FR-FCM-ZZZU,FCS3.0,0064.FCS,21690474,BD FACSDiva Software Version 5.0.2,11
FR-FCM-ZZZU,FCS3.0,0250.FCS,12580888,BD FACSDiva Software Version 5.0.2,11
FR-FCM-ZZZU,FCS3.0,0125.FCS,16447827,BD FACSDiva Software Version 5.0.2,11
FR-FCM-ZZZU,FCS3.0,0086.FCS,26829759,BD FACSDiva Software Version 5.0.2,11
FR-FCM-ZZZU,FCS3.0,0033.FCS,19534251,BD FACSDiva Software Version 5.0.2,11
FR-FCM-ZZZU,FCS3.0,0291.FCS,9130935,BD FACSDiva Software Version 5.0.2,11
FR-FCM-ZZZU,FCS3.0,0241.FCS,14600484,BD FACSDiva Software Version 5.0.2,11
FR-FCM-ZZZU,FCS3.0,0274.FCS,7608621,BD FACSDiva Software Version 5.0.2,11
FR-FCM-ZZZU,FCS3.0,0136.FCS,14952131,BD FACSDiva Software Version 5.0.2,11
FR-FCM-ZZZU,FCS3.0,0137.FCS,14617115,BD FACSDiva Software Version 5.0.2,11
FR-FCM-ZZZU,FCS3.0,0085.FCS,23950049,BD FACSDiva Software Version 5.0.2,11
FR-FCM-ZZZU,FCS3.0,0254.FCS,10545844,BD FACSDiva Software Version 5.0.2,11
FR-FCM-ZZZV,FCS3.0,253852.fcs,11221696,BD FACSDiva Software Version 4.1,12
FR-FCM-ZZZV,FCS3.0,220566.fcs,15878597,BD FACSDiva Software Version 4.1,12
FR-FCM-ZZZV,FCS3.0,220975.fcs,6512613,BD FACSDiva Software Version 4.1,12
FR-FCM-ZZZV,FCS3.0,224947.fcs,9425925,BD FACSDiva Software Version 4.1,12
FR-FCM-ZZZV,FCS3.0,225090.fcs,11999170,BD FACSDiva Software Version 4.1,12
FR-FCM-ZZZV,FCS3.0,253956.fcs,10868473,BD FACSDiva Software Version 4.1,12
FR-FCM-ZZZV,FCS3.0,298695.fcs,8224897,BD FACSDiva Software Version 4.1,12
FR-FCM-ZZZV,FCS3.0,220554.fcs,15124692,BD FACSDiva Software Version 4.1,12
FR-FCM-ZZZV,FCS3.0,220798.fcs,13368118,BD FACSDiva Software Version 4.1,12
FR-FCM-ZZZV,FCS3.0,224535.fcs,12388053,BD FACSDiva Software Version 4.1,12
FR-FCM-ZZZV,FCS3.0,298716.fcs,6634104,BD FACSDiva Software Version 4.1,12
FR-FCM-ZZZV,FCS3.0,253809.fcs,12733414,BD FACSDiva Software Version 4.1,12
FR-FCM-ZZZV,FCS3.0,252039.fcs,10437529,BD FACSDiva Software Version 4.1,12
FR-FCM-ZZZV,FCS3.0,222567.fcs,7633426,BD FACSDiva Software Version 4.1,12
FR-FCM-ZZZV,FCS3.0,252267.fcs,9624899,BD FACSDiva Software Version 4.1,12
FR-FCM-ZZZV,FCS3.0,298828.fcs,8606040,BD FACSDiva Software Version 4.1,12
FR-FCM-ZZZV,FCS3.0,251996.fcs,8138805,BD FACSDiva Software Version 4.1,12
FR-FCM-ZZZV,FCS3.0,298681.fcs,10913220,BD FACSDiva Software Version 4.1,12
FR-FCM-ZZZV,FCS3.0,298689.fcs,7156321,BD FACSDiva Software Version 4.1,12
FR-FCM-ZZZV,FCS3.0,222702.fcs,7157544,BD FACSDiva Software Version 4.1,12
FR-FCM-ZZZV,FCS3.0,225226.fcs,5320739,BD FACSDiva Software Version 4.1,12
FR-FCM-ZZZV,FCS3.0,298724.fcs,5381544,BD FACSDiva Software Version 4.1,12
FR-FCM-ZZZV,FCS3.0,221238.fcs,11806836,BD FACSDiva Software Version 4.1,12
FR-FCM-ZZZV,FCS3.0,252135.fcs,7929096,BD FACSDiva Software Version 4.1,12
FR-FCM-ZZZV,FCS3.0,220525.fcs,12805174,BD FACSDiva Software Version 4.1,12
FR-FCM-ZZZV,FCS3.0,299983.fcs,4370612,BD FACSDiva Software Version 4.1,12
FR-FCM-ZZZV,FCS3.0,224949.fcs,9079077,BD FACSDiva Software Version 4.1,12
FR-FCM-ZZZV,FCS3.0,220662.fcs,11134873,BD FACSDiva Software Version 4.1,12
FR-FCM-ZZZV,FCS3.0,251990.fcs,8175779,BD FACSDiva Software Version 4.1,12
FR-FCM-ZZZV,FCS3.0,224533.fcs,13170382,BD FACSDiva Software Version 4.1,12
FR-FCM-ZZYZ,FCS3.0,001.fcs,2902120,NA,12
FR-FCM-ZZYZ,FCS3.0,002.fcs,3196024,NA,12
FR-FCM-ZZYZ,FCS3.0,003.fcs,3044632,NA,12
FR-FCM-ZZYZ,FCS3.0,004.fcs,2992936,NA,12
FR-FCM-ZZYZ,FCS3.0,005.fcs,2865208,NA,12
FR-FCM-ZZYZ,FCS3.0,006.fcs,2933368,NA,12
FR-FCM-ZZYZ,FCS3.0,007.fcs,3038728,NA,12
FR-FCM-ZZYZ,FCS3.0,008.fcs,3123928,NA,12
FR-FCM-ZZYZ,FCS3.0,009.fcs,2719912,NA,12
FR-FCM-ZZYZ,FCS3.0,010.fcs,2815384,NA,12
FR-FCM-ZZYZ,FCS3.0,011.fcs,2833864,NA,12
FR-FCM-ZZYZ,FCS3.0,012.fcs,2979016,NA,12
FR-FCM-ZZYZ,FCS3.0,013.fcs,2808568,NA,12
FR-FCM-ZZYZ,FCS3.0,014.fcs,3005464,NA,12
FR-FCM-ZZYZ,FCS3.0,015.fcs,2786872,NA,12
FR-FCM-ZZYZ,FCS3.0,016.fcs,2928856,NA,12
FR-FCM-ZZYZ,FCS3.0,017.fcs,2929096,NA,12
FR-FCM-ZZYZ,FCS3.0,018.fcs,2299480,NA,12
FR-FCM-ZZYZ,FCS3.0,019.fcs,2619112,NA,12
FR-FCM-ZZYZ,FCS3.0,020.fcs,3010552,NA,12
FR-FCM-ZZYZ,FCS3.0,021.fcs,3202984,NA,12
FR-FCM-ZZYZ,FCS3.0,022.fcs,2871112,NA,12
FR-FCM-ZZYZ,FCS3.0,023.fcs,2989672,NA,12
FR-FCM-ZZYZ,FCS3.0,024.fcs,2974120,NA,12
FR-FCM-ZZYZ,FCS3.0,025.fcs,2729032,NA,12
FR-FCM-ZZYZ,FCS3.0,026.fcs,2664376,NA,12
FR-FCM-ZZYZ,FCS3.0,027.fcs,2955208,NA,12
FR-FCM-ZZYZ,FCS3.0,028.fcs,1081816,NA,12
FR-FCM-ZZYZ,FCS3.0,029.fcs,2905240,NA,12
FR-FCM-ZZYZ,FCS3.0,030.fcs,3241384,NA,12
FR-FCM-ZZYY,FCS3.0,001.fcs,76572,NA,5
FR-FCM-ZZYY,FCS3.0,002.fcs,148572,NA,5
FR-FCM-ZZYY,FCS3.0,003.fcs,111133,NA,5
FR-FCM-ZZYY,FCS3.0,004.fcs,66453,NA,5
FR-FCM-ZZYY,FCS3.0,005.fcs,86333,NA,5
FR-FCM-ZZYY,FCS3.0,006.fcs,248034,NA,5
FR-FCM-ZZYY,FCS3.0,007.fcs,58373,NA,5
FR-FCM-ZZYY,FCS3.0,008.fcs,160353,NA,5
FR-FCM-ZZYY,FCS3.0,009.fcs,72032,NA,5
FR-FCM-ZZYY,FCS3.0,010.fcs,37772,NA,5
FR-FCM-ZZYY,FCS3.0,011.fcs,82192,NA,5
FR-FCM-ZZYY,FCS3.0,012.fcs,163633,NA,5
FR-FCM-ZZYY,FCS3.0,013.fcs,164312,NA,5
FR-FCM-ZZYY,FCS3.0,014.fcs,365513,NA,5
FR-FCM-ZZYY,FCS3.0,015.fcs,491934,NA,5
FR-FCM-ZZYY,FCS3.0,016.fcs,190912,NA,5
FR-FCM-ZZYY,FCS3.0,017.fcs,268493,NA,5
FR-FCM-ZZYY,FCS3.0,018.fcs,253073,NA,5
FR-FCM-ZZYY,FCS3.0,019.fcs,204594,NA,5
FR-FCM-ZZYY,FCS3.0,020.fcs,251914,NA,5
FR-FCM-ZZYY,FCS3.0,021.fcs,200654,NA,5
FR-FCM-ZZYY,FCS3.0,022.fcs,238814,NA,5
FR-FCM-ZZYY,FCS3.0,023.fcs,177353,NA,5
FR-FCM-ZZYY,FCS3.0,024.fcs,345774,NA,5
FR-FCM-ZZYY,FCS3.0,025.fcs,235234,NA,5
FR-FCM-ZZYY,FCS3.0,026.fcs,334314,NA,5
FR-FCM-ZZYY,FCS3.0,027.fcs,286454,NA,5
FR-FCM-ZZYY,FCS3.0,028.fcs,420874,NA,5
FR-FCM-ZZYY,FCS3.0,029.fcs,214954,NA,5
FR-FCM-ZZYY,FCS3.0,030.fcs,236494,NA,5
FR-FCM-ZZY2,FCS3.0,001.fcs,332640,NA,6
FR-FCM-ZZY2,FCS3.0,002.fcs,359160,NA,6
FR-FCM-ZZY2,FCS3.0,003.fcs,366144,NA,6
FR-FCM-ZZY2,FCS3.0,004.fcs,306720,NA,6
FR-FCM-ZZY2,FCS3.0,005.fcs,408888,NA,6
FR-FCM-ZZY2,FCS3.0,006.fcs,356040,NA,6
FR-FCM-ZZY2,FCS3.0,007.fcs,331248,NA,6
FR-FCM-ZZY2,FCS3.0,008.fcs,355584,NA,6
FR-FCM-ZZY2,FCS3.0,009.fcs,424056,NA,6
FR-FCM-ZZY2,FCS3.0,010.fcs,561744,NA,6
FR-FCM-ZZY2,FCS3.0,011.fcs,785496,NA,6
FR-FCM-ZZY2,FCS3.0,012.fcs,392736,NA,6
FR-FCM-ZZY3,FCS3.0,001.fcs,2960742,NA,8
FR-FCM-ZZY3,FCS3.0,002.fcs,2964230,NA,8
FR-FCM-ZZY3,FCS3.0,003.fcs,2936422,NA,8
FR-FCM-ZZY3,FCS3.0,004.fcs,3061926,NA,8
FR-FCM-ZZY3,FCS3.0,005.fcs,2934374,NA,8
FR-FCM-ZZY3,FCS3.0,006.fcs,2958438,NA,8
FR-FCM-ZZY3,FCS3.0,007.fcs,3032774,NA,8
FR-FCM-ZZY3,FCS3.0,008.fcs,2790374,NA,8
FR-FCM-ZZY3,FCS3.0,009.fcs,3029510,NA,8
FR-FCM-ZZY3,FCS3.0,010.fcs,2985254,NA,8
FR-FCM-ZZY3,FCS3.0,011.fcs,3024454,NA,8
FR-FCM-ZZY3,FCS3.0,012.fcs,2881958,NA,8
FR-FCM-ZZY3,FCS3.0,013.fcs,3309959,NA,8
FR-FCM-ZZY6,FCS3.0,001.fcs,239157,NA,6
FR-FCM-ZZY6,FCS3.0,002.fcs,232413,NA,6
FR-FCM-ZZY6,FCS3.0,003.fcs,235651,NA,6
FR-FCM-ZZY6,FCS3.0,004.fcs,233348,NA,6
FR-FCM-ZZY6,FCS3.0,005.fcs,231980,NA,6
FR-FCM-ZZY6,FCS3.0,006.fcs,235485,NA,6
FR-FCM-ZZY6,FCS3.0,007.fcs,239924,NA,6
FR-FCM-ZZY6,FCS3.0,008.fcs,220987,NA,6
FR-FCM-ZZY6,FCS3.0,009.fcs,235411,NA,6
FR-FCM-ZZY6,FCS3.0,010.fcs,218011,NA,6
FR-FCM-ZZY6,FCS3.0,011.fcs,214627,NA,6
FR-FCM-ZZY6,FCS3.0,012.fcs,238964,NA,6
FR-FCM-ZZY6,FCS3.0,013.fcs,238197,NA,6
FR-FCM-ZZY6,FCS3.0,014.fcs,221636,NA,6
FR-FCM-ZZY6,FCS3.0,015.fcs,220412,NA,6
FR-FCM-ZZY6,FCS3.0,016.fcs,218444,NA,6
FR-FCM-ZZY6,FCS3.0,017.fcs,229100,NA,6
FR-FCM-ZZY6,FCS3.0,018.fcs,232509,NA,6
FR-FCM-ZZY6,FCS3.0,019.fcs,236589,NA,6
FR-FCM-ZZY6,FCS3.0,020.fcs,229989,NA,6
FR-FCM-ZZY6,FCS3.0,021.fcs,202053,NA,6
FR-FCM-ZZY6,FCS3.0,022.fcs,232939,NA,6
